Species,decimalLongitude,decimalLatitude
Pinus oocarpa,-41.470556,-12.775
Pinus oocarpa,-41.470278,-12.460278
Pinus oocarpa,-41.470278,-12.460278
Pinus oocarpa,-41.470278,-12.460278
Pinus oocarpa,-47.855,-21.169444
Pinus oocarpa,-49.7597,-26.0648
Pinus oocarpa,-48.9795,-22.4712
