"","Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"1","APA CABREUVA","Species richness",63,120.694332723949,28.5402358548003,64.7564983382615,176.632167109636
"2","APA CABREUVA","Shannon diversity",13.7985293427808,15.476124006193,1.08602079867903,13.3475623543206,17.6046856580653
"3","APA CABREUVA","Simpson diversity",7.39170928135576,7.47926475007514,0.415273788630493,6.66534308063588,8.29318641951441
"4","APA CAJATI","Species richness",4,4,0.490207130000197,4,4.96078831976513
"5","APA CAJATI","Shannon diversity",3.34051222506607,3.54492190488296,0.332916063980252,2.89241840960683,4.19742540015908
"6","APA CAJATI","Simpson diversity",3.15584415584416,3.44117647058823,0.323086471170375,2.80793862320216,4.07441431797431
"7","APA CORUMBATAÍ BOTUCATU TEJUPÁ PERIMETRO TEJUPÁ","Species richness",16,47.4838709677419,23.6497910934325,16,93.8366097527658
"8","APA CORUMBATAÍ BOTUCATU TEJUPÁ PERIMETRO TEJUPÁ","Shannon diversity",9.15569431646326,12.4286949539483,2.74509723952456,7.04840323041983,17.8089866774767
"9","APA CORUMBATAÍ BOTUCATU TEJUPÁ PERIMETRO TEJUPÁ","Simpson diversity",6.24025974025974,6.82671480144403,1.01825506148079,4.83097155386606,8.82245804902199
"10","APA CORUMBATAÍ, BOTUCATU E TEJUPÁ PERIMETRO CORUMBATAÍ","Species richness",108,131.662448678808,12.7892823461697,108,156.728981465415
"11","APA CORUMBATAÍ, BOTUCATU E TEJUPÁ PERIMETRO CORUMBATAÍ","Shannon diversity",14.3712462440458,14.890202014469,0.560242318211228,13.7921472481597,15.9882567807782
"12","APA CORUMBATAÍ, BOTUCATU E TEJUPÁ PERIMETRO CORUMBATAÍ","Simpson diversity",5.50534431761991,5.51738779229924,0.206782406404587,5.11210172310973,5.92267386148876
"13","APA JUNDIAÍ","Species richness",134,164.665987390524,13.7254605249904,137.764579090317,191.567395690732
"14","APA JUNDIAÍ","Shannon diversity",16.1133999693641,16.8412435439914,0.654769641801307,15.5579186278907,18.1245684600922
"15","APA JUNDIAÍ","Simpson diversity",7.44646886584646,7.46934339775234,0.247761983999592,6.98373883237495,7.95494796312973
"16","APA MORRO DE SÃO BENTO","Species richness",29,71.4080808080808,31.2195760473576,29,132.597325473511
"17","APA MORRO DE SÃO BENTO","Shannon diversity",12.0630098614935,14.7178432784922,2.10390910982152,10.5942571964962,18.8414293604881
"18","APA MORRO DE SÃO BENTO","Simpson diversity",8.10509080083358,8.4721352536005,0.831811074917267,6.84181550482111,10.1024550023799
"19","APA PIRACICABA JUQUERÍ-MIRIM AREA II","Species richness",167,225.126385317169,16.2530498341181,193.270993003363,256.981777630975
"20","APA PIRACICABA JUQUERÍ-MIRIM AREA II","Shannon diversity",11.9470877001286,12.3192732746145,0.361742887710209,11.6102702430389,13.02827630619
"21","APA PIRACICABA JUQUERÍ-MIRIM AREA II","Simpson diversity",5.28594720105472,5.29150308121649,0.131071832820211,5.03460700950122,5.54839915293176
"22","APA QUILOMBOS DO MÉDIO RIBEIRA","Species richness",24,38.2941176470588,17.8270090412936,24,73.2344133200641
"23","APA QUILOMBOS DO MÉDIO RIBEIRA","Shannon diversity",7.19789032640849,8.3863185312934,1.08948210955073,6.25097283477325,10.5216642278136
"24","APA QUILOMBOS DO MÉDIO RIBEIRA","Simpson diversity",3.53922694221202,3.60707269155207,0.457560721356166,2.71027015695382,4.50387522615032
"25","APA RIO BATALHA","Species richness",41,66.6424603174603,17.6512171685964,41,101.238210251204
"26","APA RIO BATALHA","Shannon diversity",19.2269770693543,23.4583675719838,2.40899718762253,18.7368198453854,28.1799152985823
"27","APA RIO BATALHA","Simpson diversity",11.376404494382,12.0764617691154,1.29142803397264,9.5453093339037,14.6076142043272
"28","APA SÃO FRANCISCO XAVIER","Species richness",40,100.436046511628,43.02683925816,40,184.767101826216
"29","APA SÃO FRANCISCO XAVIER","Shannon diversity",6.28968369831008,6.60176146447672,0.314206782661451,5.98592748676207,7.21759544219137
"30","APA SÃO FRANCISCO XAVIER","Simpson diversity",4.17533382477815,4.18941083847264,0.157325494128687,3.88105853613044,4.49776314081483
"31","APA SERRA DO MAR","Species richness",115,133.27953340403,12.9654522912174,115,158.691352938088
"32","APA SERRA DO MAR","Shannon diversity",4.98152377959037,5.04344143303333,0.133450565194147,4.78188313153629,5.30499973453038
"33","APA SERRA DO MAR","Simpson diversity",2.31590750084709,2.31642031963475,0.0381667598992467,2.24161484482564,2.39122579444386
"34","APA SISTEMA CANTAREIRA","Species richness",165,241.309564213362,23.1204158787937,195.994381783339,286.624746643386
"35","APA SISTEMA CANTAREIRA","Shannon diversity",15.2628279478543,15.7266721242206,0.384789629362137,14.9724983090463,16.4808459393949
"36","APA SISTEMA CANTAREIRA","Simpson diversity",8.47012418047242,8.48454196529842,0.141209698122347,8.20777604271085,8.761307887886
"37","APA VÁRZEA DO RIO TIETÊ","Species richness",167,233.656725320608,18.8559476595549,196.699747013509,270.613703627708
"38","APA VÁRZEA DO RIO TIETÊ","Shannon diversity",9.86467522761971,10.055239220719,0.218551438447462,9.62688627259252,10.4835921688454
"39","APA VÁRZEA DO RIO TIETÊ","Simpson diversity",5.66307819631512,5.6670193975964,0.070900639226778,5.52805669823105,5.80598209696176
"40","ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU","Species richness",12,50.25,22.9828307369159,12,95.2955205071352
"41","ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU","Shannon diversity",10.1979624732045,29.0466375775399,18.1782981769009,0,64.6754473044957
"42","ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU","Simpson diversity",8.52631578947369,15.3,17.6229066847678,0,49.8402624050551
"43","ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO","Species richness",14,18.3636363636364,6.18683360196876,14,30.4896074018374
"44","ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO","Shannon diversity",10.6062711679707,14.3986644396439,2.43612740579198,9.62394246254064,19.1733864167472
"45","ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO","Simpson diversity",7.94890510948905,10.1538461538461,2.85463089636103,4.55887240782324,15.748819899869
"46","ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO PANDEIROS","Species richness",19,26.9090909090909,10.2111838773261,19,46.9226435481662
"47","ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO PANDEIROS","Shannon diversity",11.6665352018235,13.7700914097709,1.54801429070434,10.7360391524371,16.8041436671047
"48","ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO PANDEIROS","Simpson diversity",9.06791569086651,9.99477806788513,1.10457298019092,7.82985480841486,12.1597013273554
"49","AREA DE PROTEÇÃO AMBIENTAL BARREIRO RICO","Species richness",42,67.5636879432624,30.8939063630244,42,128.114631756543
"50","AREA DE PROTEÇÃO AMBIENTAL BARREIRO RICO","Shannon diversity",10.3533842729831,10.8822841460457,0.624908426430838,9.65748613660567,12.1070821554858
"51","AREA DE PROTEÇÃO AMBIENTAL BARREIRO RICO","Simpson diversity",6.421760533354,6.47160068846816,0.297428866975696,5.88865082123324,7.05455055570308
"52","ÁREA DE PROTEÇÃO AMBIENTAL CACHOEIRA DAS ANDORINHAS","Species richness",27,58.5428571428571,37.6370622059753,27,132.310143550462
"53","ÁREA DE PROTEÇÃO AMBIENTAL CACHOEIRA DAS ANDORINHAS","Shannon diversity",18.1357038625012,27.5151449617237,5.12092296281063,17.4783203870108,37.5519695364367
"54","ÁREA DE PROTEÇÃO AMBIENTAL CACHOEIRA DAS ANDORINHAS","Simpson diversity",13.4615384615385,16.4285714285714,2.34521493703086,11.8320346159856,21.0251082411573
"55","ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA","Species richness",45,61.3305785123967,8.56147647998409,45,78.1107640676523
"56","ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA","Shannon diversity",22.2598946032769,26.2345668151611,2.10421880129834,22.1103737490243,30.3587598812979
"57","ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA","Simpson diversity",14.3545842918173,15.3394495412844,1.55554155419393,12.2906441186089,18.38825496396
"58","ÁREA DE PROTEÇÃO AMBIENTAL CAVERNAS DO PERUAÇU","Species richness",28,140.037037037037,54.6189528726084,32.9858565334342,247.08821754064
