ID_UC;Código UC;Informações Gerais;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de Criação;Ano do ato legal mais recente;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Órgão Gestor;Fonte da Área: (1 = SHP, 0 = Ato legal);Área soma biomas;Área soma Biomas Continental;Área Ato Legal de Criação;Bioma Área (ha);Amazônia;Caatinga;Cerrado;Mata Atlântica;Pampa;Pantanal;Área Marinha;Bioma declarado;% Além da linha de costa;Grupo;PI;US;Recortes (ha);Mar Territorial;Município Costeiro;Município Costeiro + Área Marinha;Programa/Projeto;Sítios do Patrimônio Mundial;Sítios Ramsar;Mosaico;Código WDPA
1.060;0000.00.1060;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MEANDROS III;Federal;Reserva Particular do Patrimônio Natural;Category IV;SP;2001;2001;Portaria 150 de 24/10/2001;Sem informação.;IBIÚNA (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;73;73;73;;0;0;0;73;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682706
1.061;0000.00.1061;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA HORII;Federal;Reserva Particular do Patrimônio Natural;Category IV;SP;1999;1999;Portaria 108/99-N de 10/12/1999;Sem informação.;GUAPIARA (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;34;34;34;;0;0;0;34;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682641
1.062;0000.00.1062;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA BELA AURORA;Federal;Reserva Particular do Patrimônio Natural;Category IV;SP;1999;1999;Portaria 62-N de 16/07/1999;Sem informação.;CRUZEIRO (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;86;86;86;;0;0;0;86;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682642
1.063;0000.00.1063;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTÂNCIA JATOBÁ;Federal;Reserva Particular do Patrimônio Natural;Category IV;SP;2000;2000;Portaria 105 de 27/12/2000;Sem informação.;JAGUARIÚNA (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;26;26;27;;0;0;0;26;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682634
1.064;0000.00.1064;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CENTRO DE VIVÊNCIA COM A NATUREZA - CVN;Federal;Reserva Particular do Patrimônio Natural;Category IV;SP;2001;2001;Portaria 34 de 02/03/2001;Sem informação.;ARAÇOIABA DA SERRA (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;28;28;28;;0;0;0;28;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682637
1.065;0000.00.1065;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA RIZZIERI;Federal;Reserva Particular do Patrimônio Natural;Category IV;SP;2003;2003;Portaria 5 de 06/02/2003;Sem informação.;SÃO SEBASTIÃO (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;13;13;13;;0;0;0;13;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;555682628
1.068;0000.00.1068;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO RYAN;Federal;Reserva Particular do Patrimônio Natural;Category IV;SP;1993;1993;Portaria 112/93-N de 20/10/1993;Sem informação.;ITAPEVI (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;0;19;19;19;;0;0;0;19;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682709
1.070;0000.00.1070;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TOQUE TOQUE PEQUENO;Federal;Reserva Particular do Patrimônio Natural;Category IV;SP;2000;2000;Portaria 9-N de 18/02/2000;Sem informação.;SÃO SEBASTIÃO (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;3;3;3;;0;0;0;3;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;555682624
1.071;0000.00.1071;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOTURUNA II;Federal;Reserva Particular do Patrimônio Natural;Category IV;SP;1994;1994;Portaria 123/94-N de 14/11/1994;Sem informação.;SANTANA DE PARNAÍBA (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;58;58;58;;0;0;0;58;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682631
1.072;0000.00.1072;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOTURUNA V;Federal;Reserva Particular do Patrimônio Natural;Category IV;SP;1994;1994;Portaria 113-N de 21/10/1994;Sem informação.;PIRAPORA DO BOM JESUS (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;56;56;64;;0;0;0;56;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682638
