ID_UC;Código UC;Informações Gerais;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de Criação;Ano do ato legal mais recente;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Órgão Gestor;Fonte da Área: (1 = SHP, 0 = Ato legal);Área soma biomas;Área soma Biomas Continental;Área Ato Legal de Criação;Bioma Área (ha);Amazônia;Caatinga;Cerrado;Mata Atlântica;Pampa;Pantanal;Área Marinha;Bioma declarado;% Além da linha de costa;Grupo;PI;US;Recortes (ha);Mar Territorial;Município Costeiro;Município Costeiro + Área Marinha;Programa/Projeto;Sítios do Patrimônio Mundial;Sítios Ramsar;Mosaico;Código WDPA
410;0000.31.0410;;PARQUE ESTADUAL SERRA DA CANDONGA;Estadual;Parque;Category II;MG;1998;1998;Decreto 40170 de 17/12/1998;Sem informação.;GUANHÃES (MG);Não;Não;INSTITUTO ESTADUAL DE FLORESTAS DE MINAS GERAIS - MG;1;3.330;3.330;3.302;;0;0;0;3.330;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;0;0;0;;;;;478566
3.817;0000.31.3817;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ANGLOGOLD ASHANTI - CUIABÁ;Estadual;Reserva Particular do Patrimônio Natural;Category IV;MG;2007;2007;Portaria 181 de 12/12/2007;Sem informação.;CAETÉ (MG) - SABARÁ (MG);Não;Não;INSTITUTO ESTADUAL DE FLORESTAS DE MINAS GERAIS - MG;1;727;727;726;;0;0;0;727;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682283
3.873;0000.31.3873;;ÁREA DE PROTEÇÃO AMBIENTAL PARQUE FERNÃO DIAS;Estadual;Área de Proteção Ambiental;Category V;MG;2016;2016;Lei ordinária 22428 de 20/12/2016;Sem informação.;BETIM (MG) - CONTAGEM (MG);Não;Sim;INSTITUTO ESTADUAL DE FLORESTAS DE MINAS GERAIS - MG;1;99;99;98;;0;0;0;99;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555715684
3.886;0000.31.3886;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ALBERT SCHARLE;Estadual;Reserva Particular do Patrimônio Natural;Category IV;MG;2014;2014;Portaria 8 de 25/02/2014;Sem informação.;SABARÁ (MG);Não;Não;INSTITUTO ESTADUAL DE FLORESTAS DE MINAS GERAIS - MG;1;94;94;94;;0;0;0;94;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682129
3.894;0000.31.3894;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ANA HELENA;Estadual;Reserva Particular do Patrimônio Natural;Category IV;MG;2012;2012;Portaria 204 de 21/12/2012;Sem informação.;ITAVERAVA (MG);Não;Não;INSTITUTO ESTADUAL DE FLORESTAS DE MINAS GERAIS - MG;1;62;62;62;;0;0;0;62;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682136
3.933;0000.31.3933;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CÓRREGO DO SÍTIO I;Estadual;Reserva Particular do Patrimônio Natural;Category IV;MG;2016;2016;Portaria 63 de 16/09/2016;Sem informação.;SANTA BÁRBARA (MG);Não;Não;INSTITUTO ESTADUAL DE FLORESTAS DE MINAS GERAIS - MG;1;180;180;180;;0;0;0;180;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682327
844;0000.35.0844;;PARQUE ESTADUAL DA CANTAREIRA;Estadual;Parque;Category II;SP;1968;1968;Lei ordinária 10228 de 24/09/1968;Sem informação.;CAIEIRAS (SP) - GUARULHOS (SP) - MAIRIPORÃ (SP) - SÃO PAULO (SP);Sim;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;7.620;7.620;0;;0;0;0;7.620;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;0;0;0;;;;;4912
859;0000.35.0859;;PARQUE ESTADUAL DO JARAGUÁ;Estadual;Parque;Category II;SP;1961;1961;Decreto 38391 de 03/05/1961;Sem informação.;OSASCO (SP) - SÃO PAULO (SP);Sim;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;492;492;488;;0;0;0;492;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;0;0;0;;;;;4903
1.694;0000.35.1694;;ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO;Estadual;Área de Proteção Ambiental;Category V;SP;2002;2002;Lei ordinária 11262 de 08/11/2002;Sem informação.;SÃO JOSÉ DOS CAMPOS (SP);Não;Sim;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;3.121;3.121;0;;0;0;0;3.121;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682079
1.696;0000.35.1696;;ÁREA DE PROTEÇÃO AMBIENTAL CAJAMAR;Estadual;Área de Proteção Ambiental;Category V;SP;1984;1984;Lei ordinária 4055 de 04/06/1984;Sem informação.;CAJAMAR (SP);Não;Sim;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;13.102;13.102;13.400;;0;0;0;13.102;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555576232
1.705;0000.35.1705;;ÁREA DE PROTEÇÃO AMBIENTAL MATA DO IGUATEMÍ;Estadual;Área de Proteção Ambiental;Category V;SP;1993;1993;Lei ordinária 8284 de 02/04/1993;Sem informação.;SÃO PAULO (SP);Não;Sim;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;30;30;30;;0;0;0;30;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555636615
1.708;0000.35.1708;;ÁREA DE PROTEÇÃO AMBIENTAL PIRACICABA JUQUERÍ-MIRIM AREA II;Estadual;Área de Proteção Ambiental;Category V;SP;1991;1991;Lei ordinária 7438 de 16/07/1991;Sem informação.;AMPARO (SP) - BRAGANÇA PAULISTA (SP) - JAGUARIÚNA (SP) - JOANÓPOLIS (SP) - MONTE ALEGRE DO SUL (SP) - MORUNGABA (SP) - NAZARÉ PAULISTA (SP) - PEDRA BELA (SP) - PEDREIRA (SP) - PINHALZINHO (SP) - PIRACAIA (SP) - TUIUTI (SP) - VARGEM (SP);Não;Sim;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;285.352;285.352;0;;0;0;0;285.352;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555576306
1.716;0000.35.1716;;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR;Estadual;Área de Proteção Ambiental;Category V;SP;1984;1984;Decreto 22717 de 21/09/1984;Sem informação.;CAPÃO BONITO (SP) - ELDORADO (SP) - IPORANGA (SP) - JUQUIÁ (SP) - JUQUITIBA (SP) - MIRACATU (SP) - PEDRO DE TOLEDO (SP) - RIBEIRÃO GRANDE (SP) - SETE BARRAS (SP) - TAPIRAÍ (SP);Não;Sim;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;417.294;417.294;0;;0;0;0;417.294;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555576208
1.718;0000.35.1718;;ÁREA DE PROTEÇÃO AMBIENTAL SISTEMA CANTAREIRA;Estadual;Área de Proteção Ambiental;Category V;SP;1998;1998;Lei ordinária 10111 de 04/12/1998;Sem informação.;ATIBAIA (SP) - BRAGANÇA PAULISTA (SP) - JOANÓPOLIS (SP) - MAIRIPORÃ (SP) - NAZARÉ PAULISTA (SP) - PIRACAIA (SP) - VARGEM (SP);Sim;Sim;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;254.094;254.094;0;;0;0;0;254.094;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555576203
1.965;0000.35.1965;;PARQUE ESTADUAL DE ITAPETINGA;Estadual;Parque;Category II;SP;2010;2010;Decreto 55.662 de 30/03/2010;Sem informação.;ATIBAIA (SP) - BOM JESUS DOS PERDÕES (SP) - MAIRIPORÃ (SP) - NAZARÉ PAULISTA (SP);Sim;Sim;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;10.194;10.194;10.192;;0;0;0;10.194;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;0;0;0;;;;;555576156
1.966;0000.35.1966;;PARQUE ESTADUAL DE ITABERABA;Estadual;Parque;Category II;SP;2010;2010;Decreto 55.662 de 30/03/2010;Sem informação.;ARUJÁ (SP) - GUARULHOS (SP) - NAZARÉ PAULISTA (SP) - SANTA ISABEL (SP);Sim;Sim;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;15.118;15.118;15.113;;0;0;0;15.118;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;0;0;0;;;;;555576338
1.967;0000.35.1967;;MONUMENTO NATURAL ESTADUAL DA PEDRA GRANDE;Estadual;Monumento Natural;Category III;SP;2010;2010;Decreto 55.662 de 30/03/2010;Sem informação.;ATIBAIA (SP) - BOM JESUS DOS PERDÕES (SP) - MAIRIPORÃ (SP) - NAZARÉ PAULISTA (SP);Sim;Sim;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;3.298;3.298;3.297;;0;0;0;3.298;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;0;0;0;;;;;555576336
2.015;0000.35.2015;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARAÍSO;Estadual;Reserva Particular do Patrimônio Natural;Category IV;SP;2008;2008;Resolução 27 de 24/04/2008;Sem informação.;MAIRIPORÃ (SP);Não;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;0;4;4;4;;0;0;0;4;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682408
2.019;0000.35.2019;;RPPN MAHAYANA;Estadual;Reserva Particular do Patrimônio Natural;Category IV;SP;2008;2008;Resolução 28 de 24/04/2008;Sem informação.;MOGI DAS CRUZES (SP);Não;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;0;9;9;9;;0;0;0;9;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682391
2.020;0000.35.2020;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÃO JUDAS TADEU;Estadual;Reserva Particular do Patrimônio Natural;Category IV;SP;2008;2008;Resolução 65 de 11/09/2008;Sem informação.;JUQUITIBA (SP);Não;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;6;6;6;;0;0;0;6;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682459
2.559;0000.35.2559;;PARQUE ESTADUAL ALBERTO LÖFGREN;Estadual;Parque;Category II;SP;1968;1968;Lei ordinária Lei 10228 de 24/09/1968;Sem informação.;SÃO PAULO (SP);Sim;Sim;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;177;177;187;;0;0;0;177;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;0;0;0;;;;;351993
2.700;0000.35.2700;;FLORESTA ESTADUAL DE GUARULHOS;Estadual;Floresta;Category VI;SP;2010;2010;Decreto 55662 de 30/03/2010;Sem informação.;GUARULHOS (SP);Sim;Sim;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;92;92;89;;0;0;0;92;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555576385
2.795;0000.35.2795;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DO DADINHO;Estadual;Reserva Particular do Patrimônio Natural;Category IV;SP;2012;2012;Resolução 54 de 29/06/2012;Sem informação.;ATIBAIA (SP);Não;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;12;12;12;;0;0;0;12;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555576367
3.387;0000.35.3387;;RESERVA PARTICULAR DO PATRIMÔNIO NATURA BOTUJURU-SERRA DO ITAPETY;Estadual;Reserva Particular do Patrimônio Natural;Category IV;SP;2014;2014;Resolução 78 de 30/09/2014;Sem informação.;MOGI DAS CRUZES (SP);Sim;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;444;444;437;;0;0;0;444;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682438
3.420;0000.35.3420;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA HINAYANA;Estadual;Reserva Particular do Patrimônio Natural;Category IV;SP;2014;2014;Resolução 29 de 31/03/2014;Sem informação.;MOGI DAS CRUZES (SP);Não;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;4;4;24;;0;0;0;4;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682406
3.423;0000.35.3423;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DO JACU;Estadual;Reserva Particular do Patrimônio Natural;Category IV;SP;2013;2013;Resolução 44 de 05/06/2013;Sem informação.;ATIBAIA (SP);Não;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;4;4;4;;0;0;0;4;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682435
3.425;0000.35.3425;;RPPN MARINA DO CONDE;Estadual;Reserva Particular do Patrimônio Natural;Category IV;SP;2013;2013;Resolução 13 de 15/02/2013;Sem informação.;GUARUJÁ (SP);Não;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;0;8;8;8;;0;0;0;8;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;555682458
3.648;0000.35.3648;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO SOLAR DA MONTANHA;Estadual;Reserva Particular do Patrimônio Natural;Category IV;SP;2018;2018;Resolução ROSOLUÇÃO SMA N° 09 de 30/01/2018;Sem informação.;ATIBAIA (SP);Não;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;1;1;1;;0;0;0;1;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682307
3.656;0000.35.3656;;PARQUE ESTADUAL ÁGUAS DA BILLINGS;Estadual;Parque;Category II;SP;2018;2018;Decreto 63324 de 29/03/2018;Sem informação.;SÃO BERNARDO DO CAMPO (SP);Não;Sim;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;188;188;188;;0;0;0;188;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;0;0;0;;;;;555682215
3.742;0000.35.3742;;ÁREA DE PROTEÇÃO AMBIENTAL HARAS SÃO BERNARDO;Estadual;Área de Proteção Ambiental;Category V;SP;1987;1987;Lei ordinária 5745 de 10/07/1987;Sem informação.;SANTO ANDRÉ (SP);Não;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;35;35;34;;0;0;0;35;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682085
3.887;0000.35.3887;;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO ITAPETI;Estadual;Área de Proteção Ambiental;Category V;SP;2018;2018;Decreto 63.871/2018 de 29/11/2018;Sem informação.;GUARAREMA (SP) - MOGI DAS CRUZES (SP) - SUZANO (SP);Sim;Sim;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;5.141;5.141;5.139;;0;0;0;5.141;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682289
4.074;0000.35.4074;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VUTURUSSU;Estadual;Reserva Particular do Patrimônio Natural;Category IV;SP;2020;2020;Resolução 05 de 31/01/2020;Sem informação.;SANTANA DE PARNAÍBA (SP);Sim;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;161;161;161;;0;0;0;161;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555715719
4.324;0000.35.4324;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JACARANDÁS;Estadual;Reserva Particular do Patrimônio Natural;Category IV;SP;2021;2021;Resolução 134 de 09/12/2021;Sem informação.;NAZARÉ PAULISTA (SP);Não;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;10;10;10;;0;0;0;10;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555759139
4.335;0000.35.4335;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO TAGUAÍBA II;Estadual;Reserva Particular do Patrimônio Natural;Category IV;SP;2021;2021;Resolução 144 de 21/12/2021;Sem informação.;ITANHAÉM (SP);Sim;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;168;168;167;;0;0;0;168;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;555759213
2.771;1000.31.2771;;ÁREA DE PROTEÇÃO AMBIENTAL JUCA VIEIRA;Municipal;Área de Proteção Ambiental;Category V;MG;2002;2012;Lei complementar 2307/02 de 09/12/2002;Sem informação.;CAETÉ (MG);Sim;Sim;SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE CAETÉ - MG;0;3.470;3.470;3.470;;0;0;0;3.470;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682929
4.070;1940.31.4070;;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DOS COCAIS;Municipal;Área de Proteção Ambiental;Category V;MG;2002;2020;Lei ordinária LEI 2.995/2002 de 01/03/2002;Sem informação.;CORONEL FABRICIANO (MG);Não;Não;SECRETARIA DE GOVERNANÇA URBANA, PLANEJAMENTO E MEIO AMBIENTE DE CORONEL FABRICIANO - MG;1;16.693;16.693;16.703;;0;0;0;16.693;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555715702
3.434;2390.35.3434;;AREA DE PROTEÇÃO AMBIENTAL - PEDREGULHO;Municipal;Área de Proteção Ambiental;Category V;SP;2013;2013;Lei ordinária 1610 de 13/12/2013;Sem informação.;ITU (SP);Sim;Sim;SECRETARIA MUNICIPAL DE MEIO AMBIENTE DE ITU - SP;1;7.497;7.497;7.702;;0;0;0;7.497;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555636533
2.246;2590.35.2246;;RESERVA BIOLÓGICA MUNICIPAL DA SERRA DO JAPI;Municipal;Reserva Biológica;Category Ia;SP;1991;1991;Lei ordinária 3672 de 10/01/1991;Sem informação.;JUNDIAÍ (SP);Sim;Não;PREFEITURA DE JUNDIAÍ - SP;0;2.071;2.071;2.071;;0;0;0;2.071;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;0;0;0;;;;;555682945
2.836;3560.35.2836;;"PARQUE NATURAL MUNICIPAL ""DOUTOR RUI CALAZANS DE ARAÚJO""";Municipal;Parque;Category II;SP;2002;2002;Decreto 1875 de 04/02/2002;Sem informação.;PARAIBUNA (SP);Não;Sim;DIRETORIA MUNICIPAL DE AGRICULTURA, ABASTECIMENTO E MEIO AMBIENTE DE PARAIBUNA - SP;0;67;67;67;;0;0;0;67;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;0;0;0;;;;;555682941
2.798;4480.31.2798;;PARQUE NATURAL MUNICIPAL REGO DOS CARRAPATOS;Municipal;Parque;Category II;MG;2012;2012;Decreto 4572 de 06/07/2012;Sem informação.;NOVA LIMA (MG);Não;Sim;SECRETARIA MUNICIPAL DE MEIO AMBIENTE DE NOVA LIMA - MG;0;34;34;34;;0;0;0;34;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;0;0;0;;;;;555682356
2.799;4730.35.2799;;RESERVA BIOLÓGICA TAMBORÉ;Municipal;Reserva Biológica;Category Ia;SP;2005;2005;Lei ordinária 2689 de 21/12/2005;Sem informação.;SANTANA DE PARNAÍBA (SP);Sim;Sim;PREFEITURA DO MUNICÍPIO DE SANTANA DE PARNAÍBA - SP;0;367;367;367;;0;0;0;367;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;0;0;0;;;;;555682946
2.580;4780.35.2580;;PARQUE NATURAL MUNICIPAL DO PEDROSO;Municipal;Parque;Category II;SP;1998;1998;Lei ordinária 7.733 de 14/10/1998;Sem informação.;SANTO ANDRÉ (SP);Não;Não;SERVIÇO MUNICIPAL DE SANEAMENTO AMBIENTAL DE SANTO ANDRÉ - SP;0;857;857;857;;0;0;0;857;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;0;0;0;;;;;555682944
2.857;4780.35.2857;;PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA;Municipal;Parque;Category II;SP;2003;2003;Decreto 14.937/2003 de 05/06/2003;Sem informação.;SANTO ANDRÉ (SP);Sim;Não;SECRETARIA DE GESTÃO DE RECURSOS NATURAIS DE PARANAPIACABA E PARQUE ANDREENSE - SP;1;450;450;426;;0;0;0;450;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;0;0;0;;;;;555576339
2.955;4870.35.2955;;PARQUE NATURAL MUNICIPAL ESTORIL - VIRGÍLIO SIMIONATO;Municipal;Parque;Category II;SP;2013;2013;Decreto 18684/2013 de 13/11/2013;Sem informação.;SÃO BERNARDO DO CAMPO (SP);Não;Não;SECRETARIA DE GESTÃO AMBIENTAL DE SÃO BERNARDO DO CAMPO - SP;1;38;38;37;;0;0;0;38;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;0;0;0;;;;;555576487
1.959;5030.35.1959;;ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL DO CAPIVARI-MONOS;Municipal;Área de Proteção Ambiental;Category V;SP;2001;2001;Lei ordinária 13136 de 09/06/2001;Sem informação.;SÃO PAULO (SP);Sim;Sim;SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE DE SÃO PAULO - SP;1;25.136;25.136;25.100;;0;0;0;25.136;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555576382
1.961;5030.35.1961;;ÁREA DE PROTEÇÃO AMBIENTAL BORORÉ-COLÔNIA;Municipal;Área de Proteção Ambiental;Category V;SP;2006;2006;Lei ordinária 14162 de 24/05/2006;Sem informação.;SÃO PAULO (SP);Não;Sim;SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE DE SÃO PAULO - SP;1;8.961;8.961;9.000;;0;0;0;8.961;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555576379
1.971;5030.35.1971;;PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA;Municipal;Parque;Category II;SP;2007;2007;Decreto 48.423 de 11/06/2007;Sem informação.;SÃO PAULO (SP);Sim;Sim;SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE DE SÃO PAULO - SP;1;53;53;53;;0;0;0;53;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;0;0;0;;;;;555576449
2.562;5030.35.2562;;RESERVA PARTICULAR DO PATRIMONIO NATURAL MUTINGA;Municipal;Reserva Particular do Patrimônio Natural;Category IV;SP;2011;2011;Portaria 12 de 03/02/2011;Sem informação.;SÃO PAULO (SP);Não;Não;SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE DE SÃO PAULO - SP;1;3;3;3;;0;0;0;3;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555576273
4.079;5030.35.4079;;REFÚGIO DE VIDA SILVESTRE ANHANGUERA;Municipal;Refúgio de Vida Silvestre;Category III;SP;2020;2020;Decreto 59.497 de 08/06/2020;Sem informação.;SÃO PAULO (SP);Sim;Sim;SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE DE SÃO PAULO - SP;1;741;741;741;;0;0;0;741;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;0;0;0;;;;;555715696
3.845;5060.35.3845;;PARQUE NATURAL MUNICIPAL DE SÃO ROQUE;Municipal;Parque;Category II;SP;1999;1999;Lei ordinária 2499 de 19/03/1999;Sem informação.;SÃO ROQUE (SP);Não;Não;PREFEITURA DA ESTÂNCIA TURÍSTICA DE SÃO ROQUE - SP;1;120;120;128;;0;0;0;120;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;0;0;0;;;;;555682157
5.147;0000.26.5147;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JUSSARAL;Estadual;Reserva Particular do Patrimônio Natural;Category IV;PE;2006;2006;Portaria 008/2006 de 27/12/2006;Sem informação.;CATENDE (PE);Não;Não;AGÊNCIA ESTADUAL DO MEIO AMBIENTE DE PERNAMBUCO - PE;1;292;292;331;;0;0;0;292;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;Sem informação.
5.148;0000.26.5148;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BICHO-HOMEM;Estadual;Reserva Particular do Patrimônio Natural;Category IV;PE;2006;2006;Portaria 07/2006 de 27/12/2006;Sem informação.;CATENDE (PE);Não;Não;AGÊNCIA ESTADUAL DO MEIO AMBIENTE DE PERNAMBUCO - PE;1;94;94;90;;0;0;0;94;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;Sem informação.
5.150;0000.26.5150;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GAIPIÓ;Estadual;Reserva Particular do Patrimônio Natural;Category IV;PE;2024;2024;Portaria 006/2024 de 05/01/2024;Sem informação.;IPOJUCA (PE);Não;Não;AGÊNCIA ESTADUAL DO MEIO AMBIENTE DE PERNAMBUCO - PE;1;88;88;88;;0;0;0;88;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;1;1;;;;;Sem informação.
